序号,日期,收盘,开盘,高,低,交易量,涨跌幅
1,"1月 03, 2023",2.48,2.47,2.5,2.47,16.37M,0.00%
2,"1月 04, 2023",2.53,2.48,2.55,2.47,27.65M,2.02%
3,"1月 05, 2023",2.52,2.53,2.54,2.51,14.46M,-0.40%
4,"1月 06, 2023",2.5,2.51,2.52,2.49,11.19M,-0.79%
5,"1月 09, 2023",2.49,2.51,2.52,2.49,12.06M,-0.40%
6,"1月 10, 2023",2.48,2.5,2.51,2.46,9.76M,-0.40%
7,"1月 11, 2023",2.47,2.47,2.48,2.45,13.29M,-0.40%
8,"1月 12, 2023",2.45,2.46,2.47,2.43,12.01M,-0.81%
9,"1月 13, 2023",2.44,2.44,2.46,2.43,13.86M,-0.41%
10,"1月 16, 2023",2.45,2.44,2.47,2.43,16.82M,0.41%
11,"1月 17, 2023",2.45,2.45,2.46,2.44,12.63M,0.00%
12,"1月 18, 2023",2.47,2.45,2.48,2.45,14.43M,0.82%
13,"1月 19, 2023",2.48,2.47,2.49,2.45,16.03M,0.40%
14,"1月 20, 2023",2.5,2.49,2.5,2.47,17.42M,0.81%
15,"1月 30, 2023",2.5,2.47,2.51,2.46,69.18M,0.00%
16,"1月 31, 2023",2.52,2.5,2.53,2.49,40.16M,0.80%
17,"2月 01, 2023",2.64,2.53,2.65,2.51,79.89M,4.76%
18,"2月 02, 2023",2.64,2.65,2.68,2.62,52.28M,0.00%
19,"2月 03, 2023",2.66,2.64,2.67,2.58,43.78M,0.76%
20,"2月 06, 2023",2.6,2.65,2.65,2.59,24.22M,-2.26%
21,"2月 07, 2023",2.58,2.61,2.61,2.57,15.87M,-0.77%
22,"2月 08, 2023",2.57,2.59,2.6,2.56,18.08M,-0.39%
23,"2月 09, 2023",2.6,2.57,2.61,2.56,19.56M,1.17%
24,"2月 10, 2023",2.64,2.6,2.64,2.59,28.34M,1.54%
25,"2月 13, 2023",2.63,2.64,2.65,2.61,30.00M,-0.38%
26,"2月 14, 2023",2.71,2.64,2.72,2.63,53.69M,3.04%
27,"2月 15, 2023",2.7,2.7,2.72,2.67,32.72M,-0.37%
28,"2月 16, 2023",2.68,2.72,2.73,2.65,34.51M,-0.74%
29,"2月 17, 2023",2.69,2.68,2.71,2.67,28.07M,0.37%
30,"2月 20, 2023",2.75,2.69,2.78,2.68,41.53M,2.23%
31,"2月 21, 2023",2.75,2.74,2.78,2.73,22.18M,0.00%
32,"2月 22, 2023",2.75,2.74,2.76,2.71,18.08M,0.00%
33,"2月 23, 2023",2.73,2.76,2.76,2.71,17.62M,-0.73%
34,"2月 24, 2023",2.74,2.73,2.76,2.72,28.95M,0.37%
35,"2月 27, 2023",2.71,2.74,2.74,2.69,26.75M,-1.09%
36,"2月 28, 2023",2.7,2.72,2.72,2.67,26.95M,-0.37%
37,"3月 01, 2023",2.73,2.7,2.74,2.67,38.89M,1.11%
38,"3月 02, 2023",2.73,2.73,2.81,2.7,35.03M,0.00%
39,"3月 03, 2023",2.76,2.73,2.78,2.71,31.39M,1.10%
40,"3月 06, 2023",2.71,2.76,2.76,2.7,26.14M,-1.81%
41,"3月 07, 2023",2.65,2.7,2.71,2.64,26.06M,-2.21%
42,"3月 08, 2023",2.66,2.64,2.68,2.63,29.08M,0.38%
43,"3月 09, 2023",2.64,2.66,2.67,2.63,17.83M,-0.75%
44,"3月 10, 2023",2.58,2.62,2.63,2.57,25.30M,-2.27%
45,"3月 13, 2023",2.56,2.56,2.58,2.53,31.57M,-0.78%
46,"3月 14, 2023",2.53,2.55,2.58,2.52,21.24M,-1.17%
47,"3月 15, 2023",2.58,2.55,2.58,2.54,21.31M,1.98%
48,"3月 16, 2023",2.53,2.57,2.57,2.53,17.86M,-1.94%
49,"3月 17, 2023",2.54,2.55,2.57,2.54,18.04M,0.40%
50,"3月 20, 2023",2.54,2.55,2.58,2.53,21.27M,0.00%
51,"3月 21, 2023",2.56,2.56,2.57,2.54,12.72M,0.79%
52,"3月 22, 2023",2.55,2.57,2.58,2.55,14.67M,-0.39%
53,"3月 23, 2023",2.55,2.55,2.58,2.53,19.30M,0.00%
54,"3月 24, 2023",2.53,2.55,2.56,2.51,25.46M,-0.78%
55,"3月 27, 2023",2.49,2.53,2.54,2.48,24.00M,-1.58%
56,"3月 28, 2023",2.49,2.5,2.5,2.47,16.79M,0.00%
57,"3月 29, 2023",2.47,2.49,2.5,2.46,13.90M,-0.80%
58,"3月 30, 2023",2.46,2.47,2.47,2.43,20.24M,-0.40%
59,"3月 31, 2023",2.47,2.46,2.49,2.45,13.43M,0.41%
60,"4月 03, 2023",2.5,2.48,2.51,2.47,27.26M,1.21%
61,"4月 04, 2023",2.49,2.51,2.51,2.48,15.39M,-0.40%
62,"4月 06, 2023",2.46,2.5,2.5,2.46,17.11M,-1.20%
63,"4月 07, 2023",2.46,2.46,2.47,2.44,11.94M,0.00%
64,"4月 10, 2023",2.44,2.46,2.46,2.43,22.63M,-0.81%
65,"4月 11, 2023",2.43,2.45,2.45,2.42,18.56M,-0.41%
66,"4月 12, 2023",2.43,2.43,2.46,2.43,26.86M,0.00%
67,"4月 13, 2023",2.42,2.43,2.45,2.41,25.62M,-0.41%
68,"4月 14, 2023",2.4,2.42,2.43,2.4,21.58M,-0.83%
69,"4月 17, 2023",2.4,2.41,2.41,2.38,23.60M,0.00%
70,"4月 18, 2023",2.38,2.4,2.4,2.38,20.54M,-0.83%
71,"4月 19, 2023",2.4,2.38,2.43,2.35,56.85M,0.84%
72,"4月 20, 2023",2.37,2.39,2.4,2.36,15.56M,-1.25%
73,"4月 21, 2023",2.36,2.37,2.4,2.35,25.98M,-0.42%
74,"4月 24, 2023",2.33,2.35,2.36,2.32,23.51M,-1.27%
75,"4月 25, 2023",2.28,2.33,2.34,2.26,31.87M,-2.15%
76,"4月 26, 2023",2.31,2.28,2.33,2.26,18.50M,1.32%
77,"4月 27, 2023",2.35,2.31,2.36,2.3,17.27M,1.73%
78,"4月 28, 2023",2.37,2.35,2.38,2.34,14.83M,0.85%
79,"5月 04, 2023",2.38,2.35,2.39,2.34,28.53M,0.42%
80,"5月 05, 2023",2.35,2.37,2.38,2.34,16.76M,-1.26%
81,"5月 08, 2023",2.39,2.36,2.41,2.35,23.01M,1.70%
82,"5月 09, 2023",2.41,2.4,2.44,2.39,30.78M,0.84%
83,"5月 10, 2023",2.43,2.39,2.44,2.39,22.18M,0.83%
84,"5月 11, 2023",2.42,2.43,2.44,2.41,13.70M,-0.41%
85,"5月 12, 2023",2.41,2.42,2.43,2.4,13.70M,-0.41%
86,"5月 15, 2023",2.41,2.42,2.42,2.37,15.18M,0.00%
87,"5月 16, 2023",2.38,2.41,2.41,2.37,14.90M,-1.24%
88,"5月 17, 2023",2.36,2.37,2.38,2.35,13.86M,-0.84%
89,"5月 18, 2023",2.36,2.36,2.37,2.35,10.72M,0.00%
90,"5月 19, 2023",2.34,2.35,2.36,2.32,14.33M,-0.85%
91,"5月 22, 2023",2.34,2.33,2.35,2.32,13.75M,0.00%
92,"5月 23, 2023",2.31,2.34,2.34,2.31,13.73M,-1.28%
93,"5月 24, 2023",2.32,2.3,2.36,2.28,25.57M,0.43%
94,"5月 25, 2023",2.27,2.32,2.32,2.24,34.03M,-2.16%
95,"5月 26, 2023",2.27,2.27,2.28,2.24,11.78M,0.00%
96,"5月 29, 2023",2.24,2.27,2.29,2.23,31.43M,-1.32%
97,"5月 30, 2023",2.22,2.23,2.24,2.2,22.52M,-0.89%
98,"5月 31, 2023",2.22,2.22,2.23,2.2,14.40M,0.00%
99,"6月 01, 2023",2.24,2.21,2.25,2.2,19.34M,0.90%
100,"6月 02, 2023",2.24,2.24,2.26,2.23,20.55M,0.00%
101,"6月 05, 2023",2.24,2.24,2.25,2.22,15.61M,0.00%
102,"6月 06, 2023",2.24,2.23,2.25,2.22,15.54M,0.00%
103,"6月 07, 2023",2.26,2.23,2.27,2.22,26.52M,0.89%
104,"6月 08, 2023",2.26,2.26,2.26,2.23,21.64M,0.00%
105,"6月 09, 2023",2.25,2.26,2.28,2.24,50.20M,-0.44%
106,"6月 12, 2023",2.27,2.25,2.29,2.22,34.07M,0.89%
107,"6月 13, 2023",2.27,2.27,2.28,2.25,16.51M,0.00%
108,"6月 14, 2023",2.27,2.28,2.3,2.26,18.96M,0.00%
109,"6月 15, 2023",2.29,2.27,2.29,2.26,16.90M,0.88%
110,"6月 16, 2023",2.27,2.29,2.3,2.27,15.48M,-0.87%
111,"6月 19, 2023",2.27,2.28,2.29,2.25,20.77M,0.00%
112,"6月 20, 2023",2.25,2.27,2.28,2.24,17.85M,-0.88%
113,"6月 21, 2023",2.24,2.25,2.28,2.24,18.24M,-0.44%
114,"6月 26, 2023",2.22,2.23,2.24,2.2,25.34M,-0.89%
115,"6月 27, 2023",2.23,2.22,2.24,2.21,13.25M,0.45%
116,"6月 28, 2023",2.24,2.23,2.25,2.22,14.62M,0.45%
117,"6月 29, 2023",2.23,2.24,2.25,2.22,13.97M,-0.45%
118,"6月 30, 2023",2.29,2.22,2.3,2.22,42.41M,2.69%
119,"7月 03, 2023",2.3,2.29,2.31,2.28,23.93M,0.44%
120,"7月 04, 2023",2.27,2.3,2.3,2.26,18.63M,-1.30%
121,"7月 05, 2023",2.29,2.28,2.3,2.26,18.17M,0.88%
122,"7月 06, 2023",2.25,2.28,2.29,2.24,21.16M,-1.75%
123,"7月 07, 2023",2.26,2.25,2.28,2.24,11.30M,0.44%
124,"7月 10, 2023",2.25,2.26,2.27,2.24,11.19M,-0.44%
125,"7月 11, 2023",2.26,2.25,2.26,2.25,8.72M,0.44%
126,"7月 12, 2023",2.24,2.25,2.26,2.24,17.85M,-0.88%
127,"7月 13, 2023",2.24,2.23,2.25,2.23,20.96M,0.00%
128,"7月 14, 2023",2.24,2.25,2.25,2.23,22.25M,0.00%
129,"7月 17, 2023",2.25,2.24,2.25,2.23,17.38M,0.45%
130,"7月 18, 2023",2.26,2.24,2.27,2.23,17.07M,0.44%
131,"7月 19, 2023",2.27,2.26,2.3,2.25,36.26M,0.44%
132,"7月 20, 2023",2.26,2.28,2.29,2.26,21.82M,-0.44%
133,"7月 21, 2023",2.28,2.27,2.29,2.26,17.75M,0.88%
134,"7月 24, 2023",2.27,2.28,2.29,2.25,20.74M,-0.44%
135,"7月 25, 2023",2.3,2.27,2.3,2.27,22.19M,1.32%
136,"7月 26, 2023",2.32,2.3,2.32,2.29,34.53M,0.87%
